order_id,review
1,Good but need updates and improvements
2,"Worst mobile i have bought ever, Battery is draining like hell, backup is only 6 to 7 hours with internet uses, even if I put mobile idle its getting discharged.This is biggest lie from Amazon & Lenove which is not at all expected, they are making full by saying that battery is 4000MAH & booster charger is fake, it takes at least 4 to 5 hours to be fully charged.Don't know how Lenovo will survive by making full of us.Please don;t go for this else you will regret like me."
3,when I will get my 10% cash back.... its already 15 January..
4,Good
5,The worst phone everThey have changed the last phone but the problem is still same and the amazon is not returning the phone .Highly disappointing of amazon
6,Only I'm telling don't buyI'm totally disappointedPoor batteryPoor cameraWaste of money
7,"Phone is awesome. But while charging, it heats up allot..Really a genuine reason to hate Lenovo k8 note"
8,The battery level has worn down
9,It's over hitting problems...and phone hanging problems Lenovo k 8 note...so where is service station in Ahmedabad it's one years warranty so it's can change the phone by lenovo
10,A lot of glitches dont buy this thing better go for some other options
11,Wrost
12,Good phone but charger not working / damage within 2 months.
13,"Don't purchase this item, It is so much of heating &Battery life is very poor"
14,I have faced the battery problem and motherboard problem with in 8 months. This is the worst mobile in my life.
15,Very good phone slim good battry backup good screen love it
16,headset is not available
17,every time automatic on and off so kindly suggest me what i can do
18,"Best product according to their prize range and it's specification comparison to another mobile(under range) and I had bought this phone during amazon seal so I had 2 paid only 10,999 but I have also hdpf credit card in which I was to paid only Rs 9998.. .. So for me... It was 1 of the best deal ever which I hv done on Amazon.."
19,Battery draining very rapidly I don't know why..Tell me possible solutions for battery life
20,Good smartphone
21,good
22,Galery problem and there is not atmos speakerNormal speaker in this phone
23,"Excellent camera , excellent speed.excellent features.excelent battery."
24,It ok good product
25,It is not a very good product camera are very poor ...Os is not good...Battery draining very quickly...Like a odinary phone..It was fully unexpected product from Lenovo..
26,"Does not have many options like cast screen, with or without WiFi. No call recording option available. Doesn't even connect mobile hotspot"
27,They have not gave with phone USB cable
28,Awesome phone in this price and this is my second mobile from lenovo. It is fast and display has been improved.
29,The best of specifications with worst of functions... The worst phone any1 can ever buy..
30,"I bouth this Fon , but I am surprised to see that,This Fon has two speekars but only one ringing other is non ringing. I am disappointed ."
31,Good phone. But there is some issue in displaying colors on screen.
32,"Before the new update of 8.0 Oreo, it worked superbly, the battery back-up is also superb and there is not that much heating problem...But... After that update, my phone got heating up simply, battery is also draining unnecessarily... really very much disappointed after that update of 8.0 Oreo...😒😒☹️"
33,Not a good one. Dual SIM are not working. Poor customer service.
34,Good performance but the battery gets oveheated
35,Best camera and better backup is very bestIn this priceFull passa wasole phone
36,Wonderful best phone
37,"Bad performance.. signal goes off frequently, mobile restarts whenever it feels like, phone bcoms hot while charging.. plzz dont buy it."
38,Best all round performance ever!!
39,"By purchasing this we have loosed by, Rs.3000 within Span of 30 days. No trust worthy deals from Amazon."
40,Not Worth it's big disappointment from lenovo signal problems big headache problems with incoming calls and always show that you are not in range.
41,best phone in this rate camera quality is too good
42,It works very well.
43,Amazing product. Very good mobile at lower price. Good features.
44,Very good mobile at this price.. Good quality of camera and it is fast for using
45,After using only 3-4 mins continuously it get heated.Camera quality is also not good.
46,Worst phone I have ever purchased. Bigggggggest charging issue.
47,Poor
48,I purchased k8 at first sell but charging of phone is very slow its take around 10 hr to full charge .....
49,Ekdam bakwaaaasssDon't buy it network problem is permanent in Lenovo k8 and camera quality very lowBattery performance also very lowPls don't buy it
50,Good phone
51,Nice performance with 4gb RM and 64gb inbuilt memory
52,Superb featurs. Good battery Loved this phone😍😍
53,Value for money
54,Nice
55,this is very beautiful and good looking this Lenovo k8
56,Bluetooth problem while connecting bluetooth speaker. Audio breakups were happened. Heating problem while we see you on YouTube half an hour
57,Good phone but heating problem exists. But it is a better choice.
58,Battery standby problem
59,"Nice Mobile, long battery back up , Really killer camera and Jet speed to run any apps.👌👌"
60,Amazing product
61,Ok
62,Not as described screen cast can't work with TV miracast and fast charging is take upto 2.15 hours contacts VCF files only download with Google drive not by SD card total disappointed
63,"This is the device for average usage. Battery could not last for a day. The biggest con of this phone is its battery. Though it has 4000 mAh battery, but it drains very fast. Camera quality is good, not very good. Specially, depth enabled mode, focus is not perfect. The thing I like most about this device is display."
64,good
65,India ka werorst mobile . Battery fully charged offer 1 hour using 100 to 10 % . Network signals full but incoming calls is out of coverage area.lenovo is cheating people.
66,Nice Mobile.
67,"Mobile is good in this range but battery backup not up to the mark, weight also very high...."
68,good to have it at this price point
69,Improve in camera in new update slow mo added and no heating issue now but still need system updated. System updates are very slow
70,Superb
71,Excellent mobile phone
72,Very very good product and its really fast
73,"Fast delivery... But mobile not worth rs.10000..No gestures, no latest features... Heating issues... Better choose other brands.."
74,Best mobile.Great specifications .Camera is too cleare focus is too sharp and fast thanks Amazon and Lenovo for such mobile.Must buy guys
75,Verigood Verigood.best
76,Firstly product not delivered on time dissatisfied 2 weeks.Secondly Android 7.1.1 naugat doesn't have call recording optionThirdly when selling product cost was 13999/- now why drastically dropped. 10999/-Fourthly when talking over the phone feels like nerve pulling to much radiation need immediate fix on this matter as it's safety and security of customer.Fifthly if any issues in hardware issues please let us know the service centers location. And please ensure hardware availability should be there at any time when customers booked.Finally as discribed about product all features are ok no issues found as mentioned earlier if call recording option would have added the this product would have been met the expectations.Camera quality is good not bad snap attached.
77,Excellent Product
78,Nice & amazing
79,The device restarts automatically.....
80,Bought this product recently from amazon. Thoroughly dissatisfied with the phone. A thumbs down for this one.
81,Really killer
82,Hello all.. Before you purchase remember Battery performance of this device is very very poor. Check the picture I attached. There was no use from 8 hours(sleeping) and I make sure data was off still see Battery draining in idle mode. Really bad performanc and This super turbo charger they calling is waste. Its below thn average charger. Really disappointed.I have just raised return request.Pros : Rest all good.CameraDesignPerformance Etc
83,To wrest phone is hang problem
84,Happy with the product ☺️🙂
85,Very bad product.. lots of malfunction.. donot take this product
86,The look and sleekness of this phone is good. But the features in this phone is very less as this phone doesn't have the basic features like no sound controler option in shortcut shutter and most importantly there is no voice call recorder and the camera quality is also not good it is average in performance.
87,"Third class phone, this Time Lenovo disappointed me, i have k3 and k4 note so bought k8 note without any kind of thinking and disappointed. It stucks anytime without any load to ram, battery is also Third class defuces in very short time and turbo charge works sometimes but most of the time it works as normal charger.Gallery and many othet apps aren't available as it has stock Android, best thing is it often shows that process.android.com stopped workingWhat the .."
88,"Ok with the product, but the problem was it gets shut down while charging"
89,"I love Lenovo k8 note handset but i replace 3 times turbo charger in allahabad service centre within 6 month it becomes turbo charging to slow charging plz lenovo fix it, i request u"
90,Really good to buy
91,Great features..
92,Gift raping is very poorWords also very small (please refund money for that work)
93,"I personally don't recommend to buy this product if anyone want to connect TV over CAST screen option. Option is available but not compatible with any other device other than Chromecast for casting, though it was available for other model of Lenovo Phone."
94,Good
95,"If you are looking for a mid range phone U can go for this, features are pretty good but some small problems arises now and then, if ignored then worth the money"
96,As sim slot was not working I returned and got fast delivery too so giving 5 star bcz I m lenovo fan and I just love mobile the best mobile of this year. It get hot in less time but I guess we ca. Ignore it bcz the phone is v.good and with lots of good features and killer look too.
97,Worst for gaming and music.. I bought this for the deca core processor it has but it works worse than a quad core processed phone. And it said it has 2 speakers but one of them (left) doesn't have a speaker just holes to cheat buyers. Decent camera and display. Battery could be made better. And the ram keeps on working for 50 - 60% even while the phone is not in use.
98,Really awsome
99,There is heating and battery backup problem
